year,book_format,avg_price,avg_page_count,book_count,total_reviews,total_sales
2012,Paperback,14.161980486823627,325.07971233152284,534,19884,1261217.5700000054
2013,Hardcover,20.189624933616546,330.0146707381837,275,15064,1351662.6900000065
2013,Kindle,11.436737694275852,,265,26187,1321107.1100000334
2013,Paperback,14.5244084331474,390.3835022492006,623,18451,1183283.2900000066
2014,Hardcover,19.14312380246009,367.03362383336423,274,16179,1390315.8100000026
2014,Kindle,12.468485767426815,,312,24732,1370268.210000035
2014,Paperback,15.04527661708185,336.6413170650176,671,17949,1204957.1200000073
2015,Hardcover,18.47468424872979,324.6136785224615,269,12399,1014585.8699999966
2015,Kindle,10.933955295883768,,277,18656,872853.0299999989
2015,Paperback,15.929678464929212,304.80997450192314,693,23139,1636728.240000021
2016,Hardcover,18.082335863377704,329.2549019607843,308,15810,1276887.8600000055
2016,Kindle,15.87062258577598,,263,8802,628636.2399999932
2016,Paperback,15.074266847473796,355.03419609692827,710,16961,1151197.9900000088
2017,Hardcover,18.877146428571358,338.4949404761905,343,16800,1414401.2200000044
2017,Kindle,11.344639326253988,,264,8193,406385.4399999949
2017,Paperback,14.275198751184918,299.9049450855773,750,17937,1171752.7300000053
2018,Hardcover,17.048390938511385,327.4708090614887,342,15450,1190087.060000001
2018,Kindle,28.458639808536308,,222,7521,986124.6500000048
2018,Paperback,12.869377618930427,327.9151466600937,674,16227,945075.3199999986
2019,Hardcover,15.857678877096994,346.77747346799043,345,11684,817755.7399999964
2019,Kindle,10.661969762418881,,236,6944,322220.58999999816
2019,Paperback,15.366969885773718,309.74392523364486,597,9627,656451.4699999932
2020,Hardcover,16.199899007795914,323.487597448618,334,11288,785948.9799999974
2020,Kindle,12.258195829555621,,157,4412,237038.87000000014
2020,Paperback,14.344396073066813,293.0005632896113,602,12425,795793.899999999
2021,Hardcover,17.226204269820673,346.27984364037286,304,9976,763693.6799999936
2021,Kindle,11.223347792804226,,138,3919,193021.30999999886
2021,Paperback,14.062176960970012,318.8452065176203,477,5278,331201.51999999915
2022,Hardcover,17.260149474375797,365.9793035479632,200,6088,457601.47999999806
2022,Kindle,12.441126388154359,,83,1891,99598.04999999997
2022,Paperback,13.785269709543494,384.7204629831841,311,4579,278404.81000000006
2023,Hardcover,18.253136246786596,285.59211653813196,62,1167,90225.72000000006
2023,Kindle,15.015105263157901,,24,380,23693.99999999999
2023,Paperback,13.449614791987687,342.6317411402157,69,649,39030.72999999999
1745,All Formats,14.28,,1,13,828.2399999999998
1822,All Formats,12.15,,1,3,157.95
1827,All Formats,22.72,,1,8,908.8
1859,All Formats,17.31,,1,4,346.2
